chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr1	1066167	1066384	0.71	0.81	0.78	0.80	0.84	0.85	0.67	0.91	0.73	0.94	0.94	0.89	0.93	0.81	0.89	0.89	0.92	0.80	0.73	0.00	0.64	0.80	0.87	0.94	0.92	0.92	0.85	0.94	0.87	0.82	0.94	0.82	0.96	0.96	0.75	0.79	0.92	0.73	0.50
chr1	1071848	1072047	0.86	0.86	0.79	0.86	0.78	0.85	0.83	0.95	0.81	0.83	0.56	0.92	0.94	0.76	0.86	0.84	0.80	0.93	0.91	0.92	0.94	0.78	0.83	0.89	0.92	0.91	0.90	0.87	0.85	0.90	0.93	0.93	0.79	0.10	0.94	0.92	0.94	0.94	0.82
chr1	1179391	1179547	0.88	0.91	0.76	0.83	0.90	0.87	0.86	0.95	0.79	0.93	0.89	0.93	0.97	0.91	0.90	0.94	0.93	0.62	0.76	0.88	0.83	0.80	0.93	0.97	0.93	0.94	0.05	0.95	0.88	0.90	0.95	0.96	0.98	0.96	0.96	0.92	0.96	0.94	0.96
chr1	1196562	1196733	0.74	0.75	0.67	0.70	0.66	0.74	0.61	0.77	0.63	0.93	0.87	0.93	0.90	0.90	0.77	0.82	0.88	0.89	0.89	0.11	0.11	0.66	0.90	0.91	0.93	0.95	0.83	0.91	0.85	0.87	0.90	0.88	0.88	0.95	0.90	0.91	0.89	0.85	0.76
chr1	1262135	1262431	0.94	0.94	0.95	0.94	0.95	0.93	0.91	0.92	0.93	0.95	0.95	0.97	0.98	0.95	0.95	0.95	0.95	0.97	0.96	0.96	0.95	0.05	0.96	0.97	0.97	0.98	0.97	0.86	0.95	0.94	0.96	0.95	0.96	0.83	0.95	0.95	0.93	0.87	0.88
chr1	1299933	1300104	0.91	0.91	0.74	0.82	0.92	0.72	0.67	0.91	0.85	0.64	0.60	0.96	0.94	0.85	0.82	0.82	0.89	0.87	0.94	0.03	0.69	0.72	0.86	0.94	0.93	0.92	0.68	0.86	0.86	0.84	0.92	0.91	0.96	0.91	0.87	0.90	0.88	0.90	0.84
chr1	1343574	1344010	0.90	0.93	0.89	0.89	0.87	0.66	0.88	0.93	0.79	0.93	0.93	0.14	0.95	0.88	0.90	0.92	0.94	0.90	0.95	0.94	0.94	0.83	0.94	0.97	0.96	0.96	0.95	0.84	0.90	0.91	0.95	0.93	0.92	0.93	0.94	0.65	0.81	0.94	0.86
chr1	1556169	1556570	0.89	0.92	0.88	0.82	0.90	0.88	0.83	0.94	0.90	0.93	0.92	0.97	0.96	0.92	0.95	0.95	0.96	0.92	0.11	0.92	0.94	0.86	0.95	0.97	0.96	0.97	0.95	0.91	0.93	0.92	0.95	0.94	0.96	0.94	0.95	0.92	0.94	0.95	0.94
chr1	1556674	1556994	0.91	0.91	0.88	0.89	0.92	0.93	0.82	0.94	0.89	0.94	0.94	0.96	0.96	0.92	0.94	0.93	0.94	0.68	0.02	0.93	0.94	0.88	0.96	0.94	0.97	0.97	0.87	0.96	0.90	0.92	0.95	0.93	0.96	0.93	0.95	0.96	0.94	0.95	0.95
chr1	1564504	1564762	0.87	0.93	0.92	0.88	0.81	0.88	0.91	0.11	0.70	0.69	0.88	0.96	0.96	0.94	0.94	0.94	0.96	0.96	0.95	0.96	0.95	0.83	0.94	0.95	0.96	0.97	0.95	0.95	0.94	0.95	0.95	0.95	0.95	0.85	0.96	0.93	0.88	0.95	0.94
